pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"TOI-1798.01","TOI-1798",,5165.00,2.44800000,6.50000000,8.02152233100,0.00002381600,3.1324000,0.08823089,2459688.13590000,0.00210000,211.0939367,46.5192825,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-713 b","Kepler-713",,5785.00,2.48000000,6.71000000,7.41114100000,0.00001344000,2.4852000,0.06205000,2455008.34658000,0.00149000,295.6513819,43.0297781,"Kepler"
"TOI-1716.01","TOI-1716",,5879.00,3.14300000,10.00000000,8.08237655400,0.00002770100,3.5635000,0.05590000,2459959.22130000,0.00260000,105.0833291,56.8241941,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1768.01","TOI-1768",,5994.00,3.45300000,11.80000000,7.33770364900,0.00002140400,4.5639000,0.07950000,2459627.02240000,0.00160000,152.1027826,55.5399599,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-203 b","Kepler-203",,5821.00,2.57000000,7.13000000,3.16269700000,0.00000400000,1.9000000,0.05261000,2455002.64158000,0.00073000,297.0899590,41.3880686,"Kepler"
"TOI-1772.01","TOI-1772",,5583.00,2.90500000,8.78000000,8.05424687400,0.00003959500,3.4202000,0.07068165,2459628.85070000,0.00280000,156.8377040,34.3909497,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-242 b","Kepler-242",,5020.00,2.61000000,7.32000000,8.20395000000,0.00002000000,2.7400000,0.10783000,2455002.69117000,0.00139000,286.5656932,41.8084168,"Kepler"
"TOI-1453 c","TOI-1453",,4975.00,2.22400000,2.95000000,6.58869820000,0.00000410000,1.8740000,0.08520000,2459395.38133000,0.00039000,258.2232705,57.1977779,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1781 b","Kepler-1781",,5568.00,2.38091029,6.26000000,4.88752985000,,1.9913000,0.07290000,2454965.70708000,0.00188000,291.7114906,42.3415097,"Kepler"
"TOI-4504 b","TOI-4504","K1 V",5315.00,2.69100000,7.71000000,2.42614000000,0.00014000000,2.1344641,0.07180000,2459038.45800000,0.02200000,114.4673065,-62.0782776,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-547 b","Kepler-547",,4828.00,4.00000000,15.10000000,6.01038428900,0.00000156800,2.2243000,0.27389000,2455007.08477100,0.00020700,286.1185888,44.3452063,"Kepler"
"Kepler-518 b","Kepler-518",,5842.00,2.11000000,5.10000000,8.51203587700,0.00000449800,2.1916000,0.05738000,2455007.90979900,0.00042400,287.0900190,41.3737576,"Kepler"
"TOI-3493 b","TOI-3493","G1/2 V",5844.00,3.22000000,8.97000000,8.15946670000,0.00000160000,4.3972747,0.07571865,2459313.04674550,0.00124770,205.7990331,-22.5854441,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1793 b","Kepler-1793",,5191.00,3.79037518,13.80000000,8.77999973300,,3.2201000,0.07557000,2454971.48383000,0.00315000,291.9129477,40.9539265,"Kepler"
"Kepler-671 b","Kepler-671",,5624.00,2.69000000,7.70000000,4.28095858800,0.00000648400,2.8753000,0.07508000,2455004.89742000,0.00121000,294.2657519,49.3140933,"Kepler"
